comp,normed_rescaled_cond,radius_um,angle_rad,intensity_mWPERmm2
13784_0.9999999958517806,0.1137152479856983,0.0,0.0,2.187578125
13837_0.9999999979541114,0.0564011345647469,0.0,0.0,2.187578125
13871_0.9999999942322023,0.0643837375175595,0.0,0.0,2.187578125
13948_0.9999999971158751,0.0259173033981784,0.0,0.0,2.187578125
13970_0.9999999966486013,0.1129004955131359,0.0,0.0,2.187578125
13978_0.9999999970699843,0.0605547062631873,0.0,0.0,2.187578125
13988_0.9999999963777026,0.0874783797271875,0.0,0.0,2.187578125
14057_0.9999999966014617,0.2121250181184631,0.0,0.0,2.187578125
14068_0.9999999965942845,0.0888799436966995,0.0,0.0,2.187578125
14094_0.9999999968506855,0.0526640315702059,0.0,0.0,2.187578125
14097_0.6666666663333333,2.658379095807052,0.0,0.0,2.187578125
14098_0.33333333299999995,2.5753267712244803,0.0,0.0,2.187578125
14098_0.9999999996666666,2.466651653508821,0.0,0.0,2.187578125
1_0.5,47.38957160416709,0.0,0.0,2.187578125
8360_0.33010724453580836,0.2459644423763551,0.0,0.0,2.187578125
8366_0.9999999961384868,0.3577741452665679,0.0,0.0,2.187578125
8372_0.0767100899440157,0.3455766703030046,0.0,0.0,2.187578125
8377_0.9999994700338284,0.0017420239100149,0.0,0.0,2.187578125
8385_0.9999999974411318,0.0870003369033588,0.0,0.0,2.187578125
8391_0.3808561813288517,0.1030030406961662,0.0,0.0,2.187578125
